posture,stride_kind,theta2_nom_deg,stride_mm,r_nom_mm,body_height_mm,theta_nom_deg,theta_extreme_deg,theta_midswing_deg,theta_span_deg,femur_travel_swing_deg,coxa_sweep_deg,bob_mm,a_eff_extreme_mm,tau_femur_peak_kgcm,swing_duration_ms,cycle_duration_ms,foot_dz_per_quantum_mm@command_step_deg,foot_dz_per_quantum_mm@joint_accuracy_deg,"theta_span_stance_deg (diagnostic, not an output)","body_speed_mm_s (derived convenience, not an output)",span_predicate_clearance_ge_bob,a_eff_nom_mm,a_eff_ceiling_mm @ margin 2.5000,a_eff_ceiling_mm @ margin 3.0000,pitch_pp_deg,roll_pp_deg,body_height_pp_mm,worst_surface_mm,min_swing_z_d414_mm,min_swing_z_profile_mm,handover_pitch_jump_deg,handover_roll_jump_deg,theta2_max_deg,femur_limit_max_deg,joints_inside_windows,joints_outside_windows
D209 floor @ margin 2.5000,"longest stride, D414 measure",70.0098,33.6056,153.6279,142.1370,51.8555,51.4853,44.7052,7.1503,13.5601,12.4836,0.7243,112.5441,8.0657,78.4371,156.8742,0.2630,1.9483,0.3702,214.2202,yes,111.6279,111.6279,93.0233,8.2932,0.4630,0.7804,0.0000,0.0000,-14.2420,8.2932,0.4630,76.7900,94.5000,yes,none
D209 floor @ margin 2.5000,"longest stride, D414 measure and joint windows",70.0098,33.6056,153.6279,142.1370,51.8555,51.4853,44.7052,7.1503,13.5601,12.4836,0.7243,112.5441,8.0657,78.4371,156.8742,0.2630,1.9483,0.3702,214.2202,yes,111.6279,111.6279,93.0233,8.2932,0.4630,0.7804,0.0000,0.0000,-14.2420,8.2932,0.4630,76.7900,94.5000,yes,none
D209 floor @ margin 2.5000,shipped stride,70.0098,60.0000,153.6279,142.1370,51.8555,50.6762,44.7052,7.1503,11.9420,22.0990,2.3276,114.5297,8.2080,138.8521,277.7042,0.2630,1.9483,1.1793,216.0572,yes,111.6279,111.6279,93.0233,15.6412,1.6007,2.5499,0.0000,-12.6688,-24.7846,15.6412,1.6007,80.7724,94.5000,NO,"R2 coxa, L2 coxa"
75.0000,"longest stride, D414 measure",75.0000,41.6705,140.8409,151.3083,56.8457,56.2634,48.9559,7.8898,14.6149,16.8300,1.0124,100.3737,7.1934,105.7459,211.4918,0.2329,1.7251,0.5824,197.0311,yes,98.8409,111.6279,93.0233,8.6140,0.5339,0.9871,0.0000,0.0000,-13.9885,8.6140,0.5339,82.3629,94.5000,yes,none
75.0000,"longest stride, D414 measure and joint windows",75.0000,41.6705,140.8409,151.3083,56.8457,56.2634,48.9559,7.8898,14.6149,16.8300,1.0124,100.3737,7.1934,105.7459,211.4918,0.2329,1.7251,0.5824,197.0311,yes,98.8409,111.6279,93.0233,8.6140,0.5339,0.9871,0.0000,0.0000,-13.9885,8.6140,0.5339,82.3629,94.5000,yes,none
75.0000,shipped stride,75.0000,60.0000,140.8409,151.3083,56.8457,55.6409,48.9559,7.8898,13.3699,24.0493,2.1117,102.0006,7.3100,151.1062,302.2124,0.2329,1.7251,1.2048,198.5359,yes,98.8409,111.6279,93.0233,12.8321,1.1454,2.0601,0.0000,-7.1346,-19.7683,12.8321,1.1454,84.7627,94.5000,NO,"R2 coxa, L2 coxa"
D209 floor @ margin 3.0000,"longest stride, D414 measure",77.1765,45.8917,135.0233,154.9529,59.0222,58.3037,50.7480,8.2742,15.1114,19.2894,1.1787,94.9591,6.8054,121.1988,242.3976,0.2192,1.6236,0.7185,189.3239,yes,93.0233,111.6279,93.0233,8.7594,0.5776,1.1110,0.0000,0.0000,-13.8418,8.7594,0.5776,84.8091,94.5000,NO,"R2 coxa, L2 coxa"
D209 floor @ margin 3.0000,"longest stride, D414 measure and joint windows",77.1765,42.7895,135.0233,154.9529,59.0222,58.3973,50.7480,8.2742,15.2986,18.0076,1.0238,94.7078,6.7874,113.1450,226.2899,0.2192,1.6236,0.6249,189.0914,yes,93.0233,111.6279,93.0233,8.1296,0.5005,0.9655,0.0000,1.0659,-12.9470,8.1296,0.5005,84.3862,94.5000,yes,none
D209 floor @ margin 3.0000,shipped stride,77.1765,60.0000,135.0233,154.9529,59.0222,57.7968,50.7480,8.2742,14.0975,25.0534,2.0249,96.3159,6.9026,157.4154,314.8308,0.2192,1.6236,1.2254,190.5786,yes,93.0233,111.6279,93.0233,11.7510,1.0069,1.9040,0.0000,-5.0141,-17.8396,11.7510,1.0069,86.5295,94.5000,NO,"R2 coxa, L2 coxa"
80.0000,"longest stride, D414 measure",80.0000,52.1483,127.2774,159.3470,61.8457,60.8910,53.0046,8.8411,15.7727,23.1549,1.4431,87.9208,6.3010,145.4867,290.9733,0.2009,1.4884,0.9548,179.2201,yes,85.2774,111.6279,93.0233,8.9484,0.6489,1.3123,0.0000,0.0000,-13.6051,8.9484,0.6489,87.9808,94.5000,NO,"R2 coxa, L2 coxa"
80.0000,"longest stride, D414 measure and joint windows",80.0000,41.5304,127.2774,159.3470,61.8457,61.2389,53.0046,8.8411,16.4686,18.5323,0.9121,86.9602,6.2321,116.4416,232.8832,0.2009,1.4884,0.6068,178.3317,yes,85.2774,111.6279,93.0233,7.0133,0.4091,0.8326,0.0000,3.2279,-10.9471,7.0133,0.4091,86.6550,94.5000,yes,none
