frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0001,R1,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0001,R2,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0001,R3,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0001,L1,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0001,L2,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0001,L3,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0002,R1,0.0000,0.0000,94.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,107.3637,0.0000,-112.2759,107.3637,IK_OK
G0002,R2,0.0000,0.0000,94.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,107.3637,0.0000,-112.2759,107.3637,IK_OK
G0002,R3,0.0000,0.0000,94.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,107.3637,0.0000,-112.2759,107.3637,IK_OK
G0002,L1,0.0000,0.0000,94.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,107.3637,0.0000,-112.2759,107.3637,IK_OK
G0002,L2,0.0000,0.0000,94.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,107.3637,0.0000,-112.2759,107.3637,IK_OK
G0002,L3,0.0000,0.0000,94.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,107.3637,0.0000,-112.2759,107.3637,IK_OK
G0003,R1,0.0000,-47.2500,47.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,204.9901,0.0000,54.4867,204.9901,IK_OK
G0003,R2,0.0000,-47.2500,47.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,204.9901,0.0000,54.4867,204.9901,IK_OK
G0003,R3,0.0000,-47.2500,47.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,204.9901,0.0000,54.4867,204.9901,IK_OK
G0003,L1,0.0000,-47.2500,47.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,204.9901,0.0000,54.4867,204.9901,IK_OK
G0003,L2,0.0000,-47.2500,47.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,204.9901,0.0000,54.4867,204.9901,IK_OK
G0003,L3,0.0000,-47.2500,47.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,204.9901,0.0000,54.4867,204.9901,IK_OK
G0004,R1,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0004,R2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0004,R3,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0004,L1,13.5000,54.0000,114.7500,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-24.1589,-5.8000,-82.0007,-24.8454,IK_W_REFLECTED
G0004,L2,-13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0004,L3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0005,R1,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0005,R2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0005,R3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0005,L1,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0005,L2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0005,L3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0006,R1,-13.5000,54.0000,114.7500,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-24.1589,5.8000,-82.0007,-24.8454,IK_W_REFLECTED
G0006,R2,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0006,R3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0006,L1,-13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0006,L2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0006,L3,-13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0007,R1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0007,R2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0007,R3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0007,L1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0007,L2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0007,L3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0008,R1,-13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0008,R2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0008,R3,-13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0008,L1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0008,L2,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0008,L3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0009,R1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0009,R2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0009,R3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0009,L1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0009,L2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0009,L3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0010,R1,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0010,R2,-13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0010,R3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0010,L1,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0010,L2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0010,L3,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0011,R1,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0011,R2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0011,R3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0011,L1,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0011,L2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0011,L3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0012,R1,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0012,R2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0012,R3,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0012,L1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0012,L2,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0012,L3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0013,R1,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0013,R2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0013,R3,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0013,L1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0013,L2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0013,L3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0014,R1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0014,R2,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0014,R3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0014,L1,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0014,L2,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0014,L3,13.5000,81.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-49.0490,-11.7756,-30.1875,-50.4427,IK_W_REFLECTED
G0015,R1,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0015,R2,13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,-6.2242,-68.8654,-26.6623,IK_W_REFLECTED
G0015,R3,-13.5000,54.0000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-25.9256,6.2242,-68.8654,-26.6623,IK_W_REFLECTED
