frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0001,R1,0.0000,40.5000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,209.1593,0.0000,-68.7130,209.1593,IK_OK
G0001,R2,0.0000,40.5000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,209.1593,0.0000,-68.7130,209.1593,IK_OK
G0001,R3,0.0000,40.5000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,209.1593,0.0000,-68.7130,209.1593,IK_OK
G0001,L1,0.0000,40.5000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,209.1593,0.0000,-68.7130,209.1593,IK_OK
G0001,L2,0.0000,40.5000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,209.1593,0.0000,-68.7130,209.1593,IK_OK
G0001,L3,0.0000,40.5000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,209.1593,0.0000,-68.7130,209.1593,IK_OK
G0002,R1,0.0000,0.0000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,213.7345,0.0000,56.3116,213.7345,IK_OK
G0002,R2,0.0000,0.0000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,213.7345,0.0000,56.3116,213.7345,IK_OK
G0002,R3,0.0000,0.0000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,213.7345,0.0000,56.3116,213.7345,IK_OK
G0002,L1,0.0000,0.0000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,213.7345,0.0000,56.3116,213.7345,IK_OK
G0002,L2,0.0000,0.0000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,213.7345,0.0000,56.3116,213.7345,IK_OK
G0002,L3,0.0000,0.0000,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,213.7345,0.0000,56.3116,213.7345,IK_OK
G0003,R1,0.0000,-47.2500,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,117.2226,0.0000,164.3328,117.2226,IK_OK
G0003,R2,0.0000,-47.2500,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,117.2226,0.0000,164.3328,117.2226,IK_OK
G0003,R3,0.0000,-47.2500,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,117.2226,0.0000,164.3328,117.2226,IK_OK
G0003,L1,0.0000,-47.2500,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,117.2226,0.0000,164.3328,117.2226,IK_OK
G0003,L2,0.0000,-47.2500,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,117.2226,0.0000,164.3328,117.2226,IK_OK
G0003,L3,0.0000,-47.2500,-30.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,117.2226,0.0000,164.3328,117.2226,IK_OK
G0005,R1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0005,R2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0005,R3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0005,L1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0005,L2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0005,L3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0007,R1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0007,R2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0007,R3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0007,L1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0007,L2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0007,L3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0008,R1,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0008,R2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0008,R3,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0008,L1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0008,L2,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0008,L3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0009,R1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
