theta2_nom_deg,longest_stride_mm,binding_bar,d29_min_link_distance_mm,d29_closest_links,d29_phase,status
70.5000,38.6478,torque,65.2360,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
71.0000,54.9084,torque,49.4711,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
71.5000,67.3322,torque,37.5742,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
72.0000,69.9928,coxa proxy,35.0602,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
72.5000,69.3911,coxa proxy,35.6455,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
73.0000,68.7857,coxa proxy,36.2344,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
73.5000,68.1766,coxa proxy,36.8268,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
74.0000,67.5638,coxa proxy,37.4226,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
74.5000,66.9473,coxa proxy,38.0218,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
75.0000,66.3273,coxa proxy,38.6244,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
75.5000,65.7037,coxa proxy,39.2304,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
76.0000,65.0766,coxa proxy,39.8396,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
76.5000,64.4460,coxa proxy,40.4522,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
77.0000,63.8121,coxa proxy,41.0680,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
77.5000,63.1748,coxa proxy,41.6869,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
78.0000,62.5342,coxa proxy,42.3091,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
78.5000,61.8903,coxa proxy,42.9343,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
79.0000,61.2433,coxa proxy,43.5627,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
79.5000,60.5930,coxa proxy,44.1941,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
80.0000,59.9397,coxa proxy,44.8285,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
80.5000,59.2833,coxa proxy,45.4660,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
81.0000,58.6239,coxa proxy,46.1063,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
81.5000,57.9616,coxa proxy,46.7496,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
82.0000,57.2963,coxa proxy,47.3957,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
82.5000,56.6282,coxa proxy,48.0447,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
83.0000,55.9573,coxa proxy,48.6964,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
83.5000,55.2836,coxa proxy,49.3509,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
84.0000,54.6072,coxa proxy,50.0081,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
84.5000,53.9281,coxa proxy,50.6679,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
85.0000,53.2465,coxa proxy,51.3304,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
85.5000,52.5623,coxa proxy,51.9954,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
86.0000,51.8756,coxa proxy,52.6630,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
86.5000,51.1865,coxa proxy,53.3331,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
87.0000,50.4950,coxa proxy,54.0056,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
87.5000,49.8011,coxa proxy,54.6805,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
88.0000,49.1050,coxa proxy,55.3577,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
88.5000,48.4066,coxa proxy,56.0373,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
89.0000,47.7060,coxa proxy,56.7191,R2 rigid / R3 rigid,0.0000,interim - swing and corner coxa open
