theta2_nom_deg,longest_stride_mm @ width 40.8100,binding_bar @ width 40.8100,longest_stride_mm @ width 52.0000,binding_bar @ width 52.0000,longest_stride_mm @ width 56.0000,binding_bar @ width 56.0000,d29_closest_links @ width 40.8100,d29_phase,"overshoot_budget_deg @ own stride, width 40.8100",shipped_60.0000_passes_torque_vertical_posed_coxa,"overshoot_budget_deg @ shipped 60.0000, width 40.8100","overshoot_budget_deg @ shipped 60.0000, width 52.0000","overshoot_budget_deg @ shipped 60.0000, width 56.0000",status
70.5000,38.6478,torque,38.6478,torque,38.6478,torque,R2 rigid / R3 rigid,0.0000,9.2652,NO,1.4366,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
71.0000,54.9084,torque,52.2888,D29,48.1561,D29,R2 rigid / R3 rigid,0.0000,3.3337,NO,1.4520,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
71.5000,63.9399,D29,52.2979,D29,48.1644,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.4677,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
72.0000,63.9526,D29,52.3070,D29,48.1727,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.4838,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
72.5000,63.9654,D29,52.3160,D29,48.1808,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.5002,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
73.0000,63.9782,D29,52.3250,D29,48.1890,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.5170,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
73.5000,63.9910,D29,52.3339,D29,48.1970,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.5342,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
74.0000,64.0040,D29,52.3429,D29,48.2050,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.5517,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
74.5000,64.0170,D29,52.3518,D29,48.2130,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.5697,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
75.0000,64.0301,D29,52.3606,D29,48.2209,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.5881,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
75.5000,64.0432,D29,52.3695,D29,48.2288,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.6069,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
76.0000,64.0565,D29,52.3783,D29,48.2366,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.6263,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
76.5000,64.0698,D29,52.3872,D29,48.2444,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.6460,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
77.0000,64.0833,D29,52.3960,D29,48.2522,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.6663,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
77.5000,64.0970,D29,52.4049,D29,48.2599,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.6872,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
78.0000,64.1107,D29,52.4137,D29,48.2676,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.7086,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
78.5000,64.1247,D29,52.4226,D29,48.2753,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.7305,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
79.0000,64.1388,D29,52.4315,D29,48.2830,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.7531,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
79.5000,64.1532,D29,52.4405,D29,48.2907,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.7763,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
80.0000,64.1678,D29,52.4495,D29,48.2984,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.8002,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
80.5000,64.1827,D29,52.4586,D29,48.3061,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.8248,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
81.0000,64.1979,D29,52.4678,D29,48.3138,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.8501,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
81.5000,64.2133,D29,52.4771,D29,48.3216,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.8762,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
82.0000,64.2292,D29,52.4865,D29,48.3295,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.9032,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
82.5000,64.2454,D29,52.4960,D29,48.3374,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.9310,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
83.0000,64.2621,D29,52.5057,D29,48.3454,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.9598,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
83.5000,64.2792,D29,52.5156,D29,48.3536,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,1.9895,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
84.0000,64.2969,D29,52.5257,D29,48.3618,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,2.0203,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
84.5000,64.3151,D29,52.5361,D29,48.3702,D29,R2 rigid / R3 rigid,0.0000,0.0000,yes,2.0522,contact at zero overshoot,contact at zero overshoot,"interim - width calibrated at one configuration; swing is the level-body model, not P8; no pair (D431 cl.9)"
