swing_ramp_eps,"p8_overshoot_deg (beyond stance, at tau*)",tau_star (of the swing),scope,d29_min_centreline_mm,phase,closest_links,centreline_at_the_hand_over_mm (phase 0),cost_of_the_swing_mm (hand-over less minimum),"clearance_mm @ ruled 40.8100 (D431 cl.3, on pose a)",clearance_mm @ 41.0903 from pose b,clearance_mm @ 42.6099 from pose c,clearance_mm @ envelope 52.0000,clearance_mm @ envelope 56.0000,"passes @ ruled 40.8100 (D431 cl.3, on pose a)",passes @ 41.0903 from pose b,passes @ 42.6099 from pose c,passes @ envelope 52.0000,passes @ envelope 56.0000,interleg_parameterised_min_mm @ the same scalar overshoot,source,status
0.0150,0.1300,0.0074,all four pairs,45.0480,0.5010,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",45.0503,0.0023,4.2380,3.9577,2.4381,-6.9520,-10.9520,yes,yes,yes,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.0150,0.1300,0.0074,R1-R2,45.0480,0.5010,R1 rigid (swing) / R2 rigid (stance),45.0503,0.0023,4.2380,3.9577,2.4381,-6.9520,-10.9520,yes,yes,yes,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.0150,0.1300,0.0074,R2-R3,45.0480,0.9990,R2 rigid (stance) / R3 rigid (swing),45.0503,0.0023,4.2380,3.9577,2.4381,-6.9520,-10.9520,yes,yes,yes,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.0150,0.1300,0.0074,L1-L2,45.0480,0.0010,L1 rigid (swing) / L2 rigid (stance),45.0503,0.0023,4.2380,3.9577,2.4381,-6.9520,-10.9520,yes,yes,yes,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.0150,0.1300,0.0074,L2-L3,45.0480,0.4990,L2 rigid (stance) / L3 rigid (swing),45.0503,0.0023,4.2380,3.9577,2.4381,-6.9520,-10.9520,yes,yes,yes,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.1200,0.9889,0.0556,all four pairs,45.0058,0.5111,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",45.0503,0.0445,4.1958,3.9155,2.3959,-6.9942,-10.9942,yes,yes,yes,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.1200,0.9889,0.0556,R1-R2,45.0058,0.5111,R1 rigid (swing) / R2 rigid (stance),45.0503,0.0445,4.1958,3.9155,2.3959,-6.9942,-10.9942,yes,yes,yes,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.1200,0.9889,0.0556,R2-R3,45.0058,0.9889,R2 rigid (stance) / R3 rigid (swing),45.0503,0.0445,4.1958,3.9155,2.3959,-6.9942,-10.9942,yes,yes,yes,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.1200,0.9889,0.0556,L1-L2,45.0058,0.0111,L1 rigid (swing) / L2 rigid (stance),45.0503,0.0445,4.1958,3.9155,2.3959,-6.9942,-10.9942,yes,yes,yes,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
0.1200,0.9889,0.0556,L2-L3,45.0058,0.4889,L2 rigid (stance) / L3 rigid (swing),45.0503,0.0445,4.1958,3.9155,2.3959,-6.9942,-10.9942,yes,yes,yes,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - P8 at 80.0000 / 60.0000 only; centre-line less a width; which width is open (see the three calibration poses); no pair (D431 cl.9)
