swing_ramp_eps,"p8_overshoot_deg (beyond stance, at tau*)",tau_star (of the swing),scope,d29_min_centreline_mm,phase,closest_links,centreline_at_the_hand_over_mm (phase 0),cost_of_the_swing_mm (hand-over less minimum),"clearance_mm @ ruled 45.8800 (D437 cl.4, pose c, worst pair)","clearance_mm @ 45.3800 (D437 cl.4, pose c, least conservative pair)","clearance_mm @ envelope 51.0000 (femur, D436 cl.4)","clearance_mm @ envelope 56.0000 (tibia, D436 cl.4)","passes @ ruled 45.8800 (D437 cl.4, pose c, worst pair)","passes @ 45.3800 (D437 cl.4, pose c, least conservative pair)","passes @ envelope 51.0000 (femur, D436 cl.4)","passes @ envelope 56.0000 (tibia, D436 cl.4)",interleg_parameterised_min_mm @ the same scalar overshoot,source,status
0.0150,0.1300,0.0074,all four pairs,45.0480,0.5010,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",45.0503,0.0023,-0.8320,-0.3320,-5.9520,-10.9520,NO,NO,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.0150,0.1300,0.0074,R1-R2,45.0480,0.5010,R1 rigid (swing) / R2 rigid (stance),45.0503,0.0023,-0.8320,-0.3320,-5.9520,-10.9520,NO,NO,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.0150,0.1300,0.0074,R2-R3,45.0480,0.9990,R2 rigid (stance) / R3 rigid (swing),45.0503,0.0023,-0.8320,-0.3320,-5.9520,-10.9520,NO,NO,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.0150,0.1300,0.0074,L1-L2,45.0480,0.0010,L1 rigid (swing) / L2 rigid (stance),45.0503,0.0023,-0.8320,-0.3320,-5.9520,-10.9520,NO,NO,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.0150,0.1300,0.0074,L2-L3,45.0480,0.4990,L2 rigid (stance) / L3 rigid (swing),45.0503,0.0023,-0.8320,-0.3320,-5.9520,-10.9520,NO,NO,NO,NO,44.4855,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.1200,0.9889,0.0556,all four pairs,45.0058,0.5111,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",45.0503,0.0445,-0.8742,-0.3742,-5.9942,-10.9942,NO,NO,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.1200,0.9889,0.0556,R1-R2,45.0058,0.5111,R1 rigid (swing) / R2 rigid (stance),45.0503,0.0445,-0.8742,-0.3742,-5.9942,-10.9942,NO,NO,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.1200,0.9889,0.0556,R2-R3,45.0058,0.9889,R2 rigid (stance) / R3 rigid (swing),45.0503,0.0445,-0.8742,-0.3742,-5.9942,-10.9942,NO,NO,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.1200,0.9889,0.0556,L1-L2,45.0058,0.0111,L1 rigid (swing) / L2 rigid (stance),45.0503,0.0445,-0.8742,-0.3742,-5.9942,-10.9942,NO,NO,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.1200,0.9889,0.0556,L2-L3,45.0058,0.4889,L2 rigid (stance) / L3 rigid (swing),45.0503,0.0445,-0.8742,-0.3742,-5.9942,-10.9942,NO,NO,NO,NO,42.5966,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.2460,1.8959,0.1057,all four pairs,44.8579,0.5283,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",45.0503,0.1924,-1.0221,-0.5221,-6.1421,-11.1421,NO,NO,NO,NO,40.5991,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.2460,1.8959,0.1057,R1-R2,44.8579,0.5283,R1 rigid (swing) / R2 rigid (stance),45.0503,0.1924,-1.0221,-0.5221,-6.1421,-11.1421,NO,NO,NO,NO,40.5991,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.2460,1.8959,0.1057,R2-R3,44.8579,0.9717,R2 rigid (stance) / R3 rigid (swing),45.0503,0.1924,-1.0221,-0.5221,-6.1421,-11.1421,NO,NO,NO,NO,40.5991,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.2460,1.8959,0.1057,L1-L2,44.8579,0.0283,L1 rigid (swing) / L2 rigid (stance),45.0503,0.1924,-1.0221,-0.5221,-6.1421,-11.1421,NO,NO,NO,NO,40.5991,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
0.2460,1.8959,0.1057,L2-L3,44.8579,0.4717,L2 rigid (stance) / L3 rigid (swing),45.0503,0.1924,-1.0221,-0.5221,-6.1421,-11.1421,NO,NO,NO,NO,40.5991,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 / 60.0000 mm",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); P8 at 80.0000 / 60.0000 only; no pair (D431 cl.9)
