width,width_mm,swing_ramp_eps,clearance_kept_mm (whole path),longest_stride_mm at 80.0000 deg,status
"ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)",45.7700,0.0150,0.0000,59.2320,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)",45.7700,0.0150,0.5000,58.7009,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)",45.7700,0.1200,0.0000,59.1880,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)",45.7700,0.1200,0.5000,58.6576,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)",45.7700,0.2460,0.0000,59.0321,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)",45.7700,0.2460,0.5000,58.5024,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"45.1400 (D439 cl.2, least conservative pair)",45.1400,0.0150,0.0000,59.9021,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"45.1400 (D439 cl.2, least conservative pair)",45.1400,0.0150,0.5000,59.3702,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"45.1400 (D439 cl.2, least conservative pair)",45.1400,0.1200,0.0000,59.8573,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"45.1400 (D439 cl.2, least conservative pair)",45.1400,0.1200,0.5000,59.3261,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"45.1400 (D439 cl.2, least conservative pair)",45.1400,0.2460,0.0000,59.7005,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
"45.1400 (D439 cl.2, least conservative pair)",45.1400,0.2460,0.5000,59.1700,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
